
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
cmd.exe                      18008 Console                    1      3,044 K Running         DESKTOP-PCHRVE5\ai                                      0:00:02 C:\Windows\System32\cmd.exe                                             
conhost.exe                  22832 Console                    1      7,520 K Running         DESKTOP-PCHRVE5\ai                                      0:00:04 N/A                                                                     
prevhost.exe                  9576 Console                    1      9,604 K Running         DESKTOP-PCHRVE5\ai                                      0:00:01 N/A                                                                     
svchost.exe                  23964 Services                   0      2,552 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
navicat.exe                  20016 Console                    1     85,484 K Running         DESKTOP-PCHRVE5\ai                                      0:01:04 Navicat Premium                                                         
powershell.exe               19836 Console                    1      9,932 K Running         DESKTOP-PCHRVE5\ai                                      0:00:03 管理员: Windows PowerShell                                              
conhost.exe                   2408 Console                    1      4,752 K Running         DESKTOP-PCHRVE5\ai                                      0:00:01 N/A                                                                     
chrome.exe                    7572 Console                    1    583,040 K Unknown         DESKTOP-PCHRVE5\ai                                      0:31:22 N/A                                                                     
Feishu.exe                    6624 Console                    1     66,412 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:18 N/A                                                                     
Feishu.exe                    8212 Console                    1    113,120 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:06 N/A                                                                     
VirtualBox.exe               24540 Console                    1     28,212 K Running         DESKTOP-PCHRVE5\ai                                      0:00:19 Oracle VirtualBox 管理器                                                
VBoxSVC.exe                  24116 Console                    1     20,552 K Running         DESKTOP-PCHRVE5\ai                                      0:00:10 VBoxPowerNotifyClass                                                    
VBoxSDS.exe                  21392 Services                   0      9,356 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
xray.exe                     17972 Console                    1     49,748 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:18 N/A                                                                     
conhost.exe                  23836 Console                    1        392 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:00 N/A                                                                     
sing-box.exe                 15632 Console                    1     32,464 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:35 N/A                                                                     
conhost.exe                  15956 Console                    1        456 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:00 N/A                                                                     
msedge.exe                   23628 Console                    1    124,920 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:05 N/A                                                                     
chrome.exe                   19704 Console                    1     80,932 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:01 N/A                                                                     
chrome.exe                    2292 Console                    1     87,820 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:01 N/A                                                                     
Feishu.exe                   16588 Console                    1     53,320 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:00 N/A                                                                     
chrome.exe                    9836 Console                    1     70,036 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:00 N/A                                                                     
smartscreen.exe               7012 Console                    1     26,408 K Running         DESKTOP-PCHRVE5\ai                                      0:00:00 OleMainThreadWndName                                                    
svchost.exe                  22796 Services                   0      7,696 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
WmiPrvSE.exe                 19360 Services                   0     11,076 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
chrome.exe                   18220 Console                    1     29,452 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:00 N/A                                                                     
main.exe                      4644 Console                    1      8,664 K Running         DESKTOP-PCHRVE5\ai                                      0:00:00 D:\projict\tools_tudou\gd_web\go_sysmon_local\main.exe                  
conhost.exe                  18412 Console                    1     18,620 K Running         DESKTOP-PCHRVE5\ai                                      0:00:02 N/A                                                                     
WmiPrvSE.exe                 24344 Services                   0     17,860 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:03 N/A                                                                     
WmiPrvSE.exe                 20728 Services                   0     10,648 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
TrustedInstaller.exe          6608 Services                   0      9,212 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
TiWorker.exe                 17540 Services                   0     13,204 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
SearchProtocolHost.exe       16732 Services                   0      8,808 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
SearchFilterHost.exe         16540 Services                   0      8,800 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
cmd.exe                      21648 Console                    1      5,940 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:00 N/A                                                                     
tasklist.exe                 14972 Console                    1     12,476 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:00 N/A                                                                     
